gene,transcript,protein
FBgn0085804.1,FBtr0114258.1,
FBgn0267431.1,FBtr0346770.1,FBpp0312365.1
FBgn0039987.1,FBtr0302440.1,
FBgn0058182.1,FBtr0302347.1,
FBgn0267430.1,FBtr0346769.1,FBpp0312364.1
FBgn0266747.1,FBtr0345282.1,
FBgn0266747.1,FBtr0345281.1,
FBgn0086917.1,FBtr0300207.1,FBpp0289444.1
FBgn0010247.1,FBtr0113885.1,FBpp0112608.1
FBgn0086378.1,FBtr0301810.1,FBpp0291024.1
FBgn0263977.1,FBtr0113895.1,FBpp0112618.1
FBgn0263977.1,FBtr0345179.1,FBpp0311388.1
FBgn0069923.1,FBtr0301812.1,FBpp0291026.1
FBgn0039955.1,FBtr0113989.1,FBpp0112712.1
FBgn0039955.1,FBtr0344573.1,FBpp0310922.1
FBgn0039955.1,FBtr0113991.1,FBpp0112714.1
FBgn0039955.1,FBtr0113990.1,FBpp0112713.1
FBgn0259821.1,FBtr0336454.1,FBpp0307560.1
FBgn0259821.1,FBtr0339974.1,FBpp0308995.1
FBgn0259821.1,FBtr0301942.1,FBpp0291154.1
FBgn0027341.1,FBtr0302850.1,FBpp0291990.1
FBgn0027341.1,FBtr0113694.1,FBpp0112417.1
FBgn0027341.1,FBtr0302847.1,FBpp0291987.1
FBgn0027341.1,FBtr0113687.1,FBpp0112410.1
FBgn0027341.1,FBtr0302849.1,FBpp0291989.1
FBgn0027341.1,FBtr0302848.1,FBpp0291988.1
FBgn0027341.1,FBtr0302846.1,FBpp0291986.1
FBgn0027341.1,FBtr0113692.1,FBpp0112415.1
FBgn0027341.1,FBtr0113690.1,FBpp0112413.1
FBgn0085812.1,FBtr0114267.1,
FBgn0058198.1,FBtr0333189.1,FBpp0305391.1
FBgn0058198.1,FBtr0301809.1,FBpp0291023.1
FBgn0037213.1,FBtr0078961.1,FBpp0078601.1
FBgn0037213.1,FBtr0078962.1,FBpp0078602.1
FBgn0053294.1,FBtr0308946.1,
FBgn0053294.1,FBtr0308945.1,
FBgn0000500.1,FBtr0078989.1,FBpp0078628.1
FBgn0037215.1,FBtr0336703.1,FBpp0307684.1
FBgn0037215.1,FBtr0336704.1,FBpp0307685.1
FBgn0037215.1,FBtr0306022.1,FBpp0297164.1
FBgn0037215.1,FBtr0078964.1,FBpp0078603.1
FBgn0037215.1,FBtr0336702.1,FBpp0307683.1
